,0
0,0.3471143648112351
1,0.33548834382998577
2,0.319723838950828
3,0.35628336601906724
4,0.31969261430489515
5,0.353980509150868
6,0.4379347952046949
7,0.4696477648902837
8,0.43143316551100214
9,0.3998158506895972
10,0.40297971263067917
11,0.4440922742856552
12,0.45015859858785406
13,0.452998186487433
14,0.40713185539320645
15,0.41235708206926364
16,0.3647476508540367
17,0.43599764298761684
18,0.4514325092031143
19,0.4294302856944825
20,0.40428932869496864
21,0.4306478148988267
22,0.4383621252121907
23,0.39201939333775215
24,0.34919465648285275
25,0.34770165458221586
26,0.3472287699894047
27,0.3274847056987317
28,0.3256434629322061
29,0.29079140928043107
30,0.2684714730963498
31,0.237581388533564
32,0.2237714741003023
33,0.21692555242517014
34,0.241308742616147
35,0.24827424930867315
36,0.23097346901207993
37,0.2453870592168369
38,0.21353340121715478
39,0.20686212432341416
40,0.19078582929595528
41,0.19012956946008877
42,0.20506154755282932
43,0.22668536543504048
44,0.20499832896781453
45,0.17254467468036264
46,0.18209731391038725
47,0.16922091790288163
48,0.17208840243946222
49,0.156238621801268
50,0.14100004099090943
51,0.17054730022323697
52,0.15553414616054467
53,0.15748787820918342
54,0.19935489650332452
55,0.168895153949727
56,0.16356943394050294
57,0.18124426715754047
58,0.17465728909726652
59,0.1885192601460784
60,0.18756381126603838
61,0.16528538269048054
62,0.16679673857148328
63,0.15080025999103527
64,0.14483312784606794
65,0.15910267171257034
66,0.14371684118081862
67,0.15238670453056752
68,0.14465856299806204
69,0.14115270175886238
70,0.1499353558057539
71,0.1467535657465563
72,0.15034137039239476
73,0.15468396012119706
74,0.13438369755482882
75,0.13291032923062956
76,0.12189527779183122
77,0.12975708366555128
78,0.1446002181836239
79,0.14474260648012327
80,0.13792234039424478
81,0.14901342936613904
82,0.1808947416331912
83,0.14810302961308922
84,0.13527466332932783
85,0.12635306028120466
86,0.11351341978193391
87,0.10980443893632999
88,0.10774196183639115
89,0.10614619336723492
90,0.10494429126910582
91,0.11007647059255057
92,0.11020834160771165
93,0.10392209800176043
94,0.10514306418134084
95,0.10025289525710297
96,0.10214316597111524
97,0.09744046144274908
98,0.10087385124264267
99,0.09674024565358022
100,0.10043705859726716
101,0.09662511490213478
102,0.11131113289864257
103,0.11639802207627095
104,0.10878708116808763
105,0.11507111229104162
106,0.1081736412557741
107,0.11585236237591444
108,0.14274091129605262
109,0.1288639053460774
110,0.13711851942388634
111,0.14479459722377752
112,0.13130072548381327
113,0.1399780382695028
114,0.1294215103974215
115,0.12041386166631673
116,0.13071254377415373
117,0.16430965141696374
118,0.14770661209906805
