,Unnamed: 0,previous_day_admission_influenza_confirmed
1362,71283,8.0
1363,63260,9.0
1364,62429,3.0
1365,61812,5.0
1366,71399,7.0
1367,70762,4.0
1368,62705,8.0
1369,60602,12.0
1370,66668,11.0
1371,70571,7.0
1372,62564,8.0
1373,61427,11.0
1374,989,7.0
1375,68072,10.0
1376,63250,6.0
1377,65150,11.0
1378,63505,5.0
1379,71916,5.0
1380,70114,8.0
1381,61035,6.0
1382,64582,3.0
1383,73665,6.0
1384,61265,6.0
1385,70420,1.0
1386,70359,7.0
1387,63181,3.0
1388,72700,5.0
1389,70910,5.0
1390,73229,4.0
1391,70919,3.0
1392,954,3.0
1393,62030,4.0
1394,69017,2.0
1395,61197,1.0
1396,64291,8.0
1397,71423,3.0
1398,71508,0.0
1399,67462,4.0
1400,65703,3.0
1401,60988,2.0
1402,62102,3.0
1403,63748,2.0
1404,64789,4.0
1405,66776,4.0
1406,62351,2.0
1407,72226,3.0
1408,72203,2.0
1409,69130,1.0
1410,71789,1.0
1411,61928,1.0
1412,925,6.0
1413,66677,1.0
1414,61139,2.0
1415,67324,1.0
1416,71002,4.0
1417,70262,1.0
1418,69675,3.0
1419,62624,4.0
1420,914,3.0
1421,72616,3.0
1422,61701,2.0
1423,65865,1.0
1424,65064,5.0
1425,64533,2.0
1426,73984,3.0
1427,73044,2.0
1428,67707,3.0
1429,63691,2.0
1430,61190,3.0
1431,62446,1.0
1432,66253,0.0
1433,65795,2.0
1434,66483,6.0
1435,73514,1.0
1436,69402,3.0
1437,70140,3.0
1438,63475,8.0
1439,63042,3.0
1440,73927,6.0
1441,65964,7.0
1442,67130,6.0
.0
0
