,Unnamed: 0,previous_day_admission_influenza_confirmed
1388,64614,118.0
1389,64589,133.0
1390,63271,159.0
1391,62642,167.0
1392,65252,177.0
1393,64072,176.0
1394,63576,197.0
1395,63480,156.0
1396,72676,159.0
1397,73135,148.0
1398,61687,138.0
1399,70898,165.0
1400,66833,127.0
1401,62548,136.0
1402,60726,139.0
1403,66078,144.0
1404,64080,121.0
1405,69854,103.0
1406,67432,111.0
1407,69536,112.0
1408,63821,111.0
1409,73909,89.0
1410,63878,97.0
1411,66107,93.0
1412,66402,115.0
1413,62895,112.0
1414,73512,103.0
1415,61748,116.0
1416,70803,98.0
1417,71864,89.0
1418,63189,99.0
1419,63039,83.0
1420,61344,83.0
1421,67113,107.0
1422,66943,110.0
1423,66596,93.0
1424,70689,104.0
1425,70557,80.0
1426,69614,72.0
1427,61771,55.0
1428,73456,50.0
1429,64699,62.0
1430,65851,58.0
1431,64192,48.0
1432,63302,50.0
1433,61405,37.0
1434,61322,30.0
1435,68129,25.0
1436,70991,29.0
1437,64505,28.0
1438,63892,20.0
1439,63826,28.0
1440,62113,28.0
1441,68218,29.0
1442,68831,18.0
1443,67588,27.0
1444,69695,34.0
1445,71301,37.0
1446,60897,32.0
1447,71800,27.0
1448,64455,28.0
1449,68648,23.0
1450,64226,33.0
1451,67152,31.0
1452,61011,35.0
1453,67350,27.0
1454,68576,27.0
1455,61157,30.0
1456,65365,27.0
1457,71701,26.0
1458,62535,24.0
1459,62952,29.0
1460,67756,26.0
1461,73110,20.0
1462,68446,17.0
1463,65756,5.0
1464,71809,26.0
1465,74070,22.0
1466,71401,25.0
1467,66643,23.0
1468,67716,8.0
37.0
