,Unnamed: 0,previous_day_admission_influenza_confirmed
1257,1118,0.0
1258,79307,0.0
1259,77624,1.0
1260,75587,0.0
1261,76633,0.0
1262,78050,0.0
1263,79458,0.0
1264,77210,1.0
1265,74436,0.0
1266,81335,0.0
1267,80932,1.0
1268,80754,2.0
1269,76336,0.0
1270,1103,0.0
1271,75398,0.0
1272,77931,0.0
1273,1099,1.0
1274,77141,1.0
1275,80944,1.0
1276,1095,2.0
1277,80001,2.0
1278,76387,3.0
1279,76068,3.0
1280,75508,0.0
1281,1088,0.0
1282,77998,0.0
1283,62701,0.0
1284,67174,1.0
1285,65159,3.0
1286,64952,1.0
1287,67633,1.0
1288,72183,2.0
1289,72196,1.0
1290,1082,0.0
1291,1081,1.0
1292,61005,2.0
1293,70953,0.0
1294,70288,1.0
1295,62264,1.0
1296,67179,1.0
1297,66150,2.0
1298,62460,0.0
1299,72039,0.0
1300,72649,2.0
1301,72469,1.0
1302,63956,0.0
1303,64985,1.0
1304,67361,1.0
1305,1063,2.0
1306,67300,0.0
1307,71234,0.0
1308,73434,0.0
1309,69535,0.0
1310,73176,0.0
1311,65777,0.0
1312,73388,0.0
1313,1055,0.0
1314,67318,0.0
1315,67126,1.0
1316,65764,1.0
1317,72024,1.0
1318,1053,0.0
1319,73947,0.0
1320,71752,1.0
1321,70126,0.0
1322,70322,0.0
1323,1047,0.0
1324,67049,0.0
1325,67338,0.0
1326,71794,2.0
1327,71908,2.0
1328,68632,3.0
1329,73652,1.0
1330,67985,2.0
1331,71289,0.0
1332,1040,0.0
1333,66452,0.0
1334,61603,1.0
1335,66646,1.0
1336,73286,4.0
1337,1035,3.0
512,9.0
1441,62279,4.0
1442,63622,8.0
.0
