,Unnamed: 0,previous_day_admission_influenza_confirmed
1346,69369,1.0
1347,65701,0.0
1348,71838,1.0
1349,70425,0.0
1350,70631,2.0
1351,61740,0.0
1352,61328,2.0
1353,64710,3.0
1354,68932,1.0
1355,63658,1.0
1356,73521,2.0
1357,71769,3.0
1358,68915,1.0
1359,68568,6.0
1360,66199,5.0
1361,61199,1.0
1362,61728,1.0
1363,70047,0.0
1364,74093,0.0
1365,68485,0.0
1366,66565,1.0
1367,69608,3.0
1368,69138,2.0
1369,67974,3.0
1370,61361,2.0
1371,69302,1.0
1372,69485,4.0
1373,69855,1.0
1374,62022,2.0
1375,68097,4.0
1376,63592,2.0
1377,69371,3.0
1378,69019,8.0
1379,68062,2.0
1380,60799,11.0
1381,63726,5.0
1382,69804,6.0
1383,68347,4.0
1384,68005,7.0
1385,67005,0.0
1386,69769,8.0
1387,65589,6.0
1388,68449,10.0
1389,61408,7.0
1390,70484,8.0
1391,72117,6.0
1392,69395,14.0
1393,61564,11.0
1394,68997,17.0
1395,71424,8.0
1396,70226,12.0
1397,69862,16.0
1398,69004,25.0
1399,67192,11.0
1400,62908,9.0
1401,68731,25.0
1402,67939,29.0
1403,66687,27.0
1404,66135,31.0
1405,67532,15.0
1406,70355,26.0
1407,72736,18.0
1408,62609,23.0
1409,67875,20.0
1410,71696,14.0
1411,66719,25.0
1412,64874,16.0
1413,66899,18.0
1414,62163,20.0
1415,70013,14.0
1416,68396,17.0
1417,70384,21.0
1418,66375,18.0
1419,73346,7.0
1420,68311,12.0
1421,65223,16.0
1422,65649,11.0
1423,64928,11.0
1424,64734,11.0
1425,69384,9.0
1426,67884,15.0
0
1503,70163,7.0
24,18.0
0
0
